region,country,iso3,excess_deaths_cold,excess_deaths_heat,af_cold_pct,af_heat_pct,rate_cold,rate_heat,stdrate_cold,stdrate_heat
Northern,Denmark,DNK,884,28,8.24,0.26,96,3,108,3
Northern,Estonia,EST,516,21,8.48,0.34,117,5,124,5
Northern,Finland,FIN,1452,45,8.94,0.28,99,3,106,3
Northern,Ireland,IRL,1134,6,12.47,0.06,104,1,149,1
Northern,Latvia,LVA,1525,105,9.65,0.66,174,12,173,12
Northern,Lithuania,LTU,1696,117,9.52,0.66,164,11,168,12
Northern,Norway,NOR,679,18,9.34,0.24,82,2,107,3
Northern,Sweden,SWE,2599,83,8.46,0.27,93,3,97,3
Northern,United Kingdom,GBR,28342,488,9.48,0.16,107,2,121,2
Western,Austria,AUT,967,150,4.43,0.69,50,8,55,8
Western,Belgium,BEL,1277,155,4.14,0.50,52,6,52,6
Western,France,FRA,10531,897,5.45,0.46,59,5,55,5
Western,Germany,DEU,12108,2015,3.92,0.65,52,9,49,8
Western,Luxembourg,LUX,27,4,4.12,0.55,38,5,49,6
Western,Netherlands,NLD,2070,344,3.30,0.55,37,6,42,6
Western,Switzerland,CHE,812,140,4.09,0.70,41,7,42,7
Eastern,Bulgaria,BGR,4045,378,8.70,0.81,156,15,175,16
Eastern,Czechia,CZE,2462,164,7.46,0.50,98,6,115,8
Eastern,Hungary,HUN,3788,309,8.37,0.68,135,11,147,12
Eastern,Poland,POL,11209,907,7.82,0.63,108,9,122,10
Eastern,Romania,ROU,9591,857,9.63,0.86,160,14,185,16
Eastern,Slovakia,SVK,849,74,7.86,0.68,97,8,134,11
Southern,Croatia,HRV,1142,293,7.05,1.81,104,27,112,28
Southern,Cyprus,CYP,321,49,7.92,1.22,70,11,98,15
Southern,Greece,GRC,3132,507,6.90,1.12,92,15,86,14
Southern,Italy,ITA,13885,3259,6.28,1.47,81,19,68,16
Southern,Malta,MLT,120,25,7.44,1.54,70,15,88,18
Southern,Portugal,PRT,2798,344,6.51,0.80,81,10,78,10
Southern,Slovenia,SVN,172,48,4.90,1.38,56,16,60,17
Southern,Spain,ESP,10095,1762,5.02,0.88,57,10,53,9
Total,Total,EU30,130228,13589,6.63,0.69,82,9,83,9
